,0
aa_000,0.05740408603367277
ck_000,0.040419811560717875
ay_008,0.014505312279905546
ay_005,0.009468477464405179
ag_001,0.009083955466006665
ag_002,0.009016038607797362
ci_000,0.008683068701660801
bs_000,0.007238005842646311
bk_000,0.004757977712776018
ay_006,0.004713411685089741
ai_000,0.003491857802448117
ee_005,0.0033746271386973616
bx_000,0.0030835116219432245
bj_000,0.0029868375414180194
bt_000,0.0028936708586451143
az_002,0.0028843353672216797
cb_000,0.002821387577936418
ee_007,0.002799369636824256
ag_003,0.0025142090533698536
cc_000,0.0023466168455805294
cs_002,0.002265253380423671
dy_000,0.0021759944764278894
cj_000,0.001953474329508165
ba_006,0.0017486011751658426
cl_000,0.0017429047897098648
ag_009,0.001727265293676794
dq_000,0.0015838017524432368
bi_000,0.0014389134588268736
az_001,0.001379611572824868
ay_000,0.001323738949876563
dx_000,0.0012965733396277158
az_004,0.0012641874840414902
az_005,0.001243741132900622
dt_000,0.0011826950185342745
cn_002,0.0011702177477442622
bc_000,0.0011309845382889926
db_000,0.0011290666630722201
bl_000,0.0010983936005202865
dp_000,0.0010409039061379133
cn_001,0.0010048142163838758
cp_000,0.0010000696183668722
eb_000,0.0008371682952291515
cs_001,0.0008208309758307664
cn_000,0.0008007854465894359
cn_009,0.0007957832207668991
ay_009,0.0007927975569319567
bp_000,0.0007663116794220492
ag_004,0.0007621243781167575
cn_006,0.0007403916932294807
cs_007,0.0007382353916049356
av_000,0.0007333075089666297
cn_003,0.0006899222453368381
cs_003,0.0006864305867940734
cm_000,0.0006243743126378209
ba_002,0.0005608534699186984
cu_000,0.0005438831347794216
ee_006,0.00047093779528861734
bz_000,0.00044817280693563164
cs_008,0.0004399570810158959
ca_000,0.00043886177671224045
am_0,0.00040563287701049776
cn_008,0.0003948269452013653
ed_000,0.00039189965566361896
ay_002,0.0003747450631435223
bh_000,0.000345647339941757
ax_000,0.0003394130091944225
ap_000,0.0003308766662166285
cs_004,0.00032429784067316
do_000,0.0003187957179789924
bo_000,0.00030659158331660665
ec_00,0.0003023683549044476
az_000,0.0002978946444061492
ag_005,0.000290639301667639
ay_007,0.00028063966080895677
al_000,0.00028001892176248154
dv_000,0.0002719808391910661
dc_000,0.0002706432564463457
ay_003,0.00024750006938361046
ao_000,0.00023016434460141345
ba_009,0.00022554322889132284
cf_000,0.00022231579673954728
at_000,0.00021251252684160172
ce_000,0.00020239361922085307
dd_000,0.00019481499394096157
df_000,0.00019007728246456246
ba_000,0.00016372952234045002
missing_sb7,0.00015973046740977992
cz_000,0.0001490654603966135
bb_000,0.00013997209429286172
dr_000,0.00013311667869191356
bm_000,0.00012662905457128115
de_000,0.00012446981396114777
missing_sb6,0.00012335674145611542
missing_sb2,0.00011437251353560996
ba_003,0.00010407794869051745
bg_000,9.49329922016906e-05
ac_000,9.011582481266434e-05
dn_000,8.903109631799299e-05
ad_000,8.81906825245915e-05
di_000,8.428273312368617e-05
missing_sb5,8.176314587791112e-05
depth_g1,7.7692869321222e-05
ag_000,6.660811008640799e-05
az_009,4.960194592391609e-05
ah_000,4.748995341028461e-05
dg_000,4.718848711426915e-05
cv_000,4.657276766906193e-05
ae_000,3.7587608347511293e-05
ee_001,3.390217044978439e-05
ar_000,3.385156696857905e-05
ea_000,3.143118081030405e-05
be_000,2.4666113322147077e-05
missing_sb9,2.4541449965864713e-05
ct_000,2.1609096179209253e-05
ba_001,1.067399307408401e-05
missing_sb4,1.024597462548904e-05
cx_000,8.607090230272619e-06
missing_sb8,7.1003965498972475e-06
bu_000,6.051124347394854e-06
da_000,3.9539511620390044e-07
cd_000,0.0
as_000,0.0
dm_000,0.0
eg_000,0.0
dl_000,0.0
dk_000,0.0
dz_000,0.0
dj_000,0.0
af_000,0.0
bv_000,0.0
ch_000,0.0
cq_000,0.0
cr_000,0.0
au_000,0.0
ef_000,-5.895289040935836e-07
dh_000,-1.79554975070495e-06
ay_001,-5.269189537648877e-06
cn_004,-1.0479326083112639e-05
du_000,-1.1033369680202299e-05
cs_009,-1.800605284409951e-05
cy_000,-2.0480666913913482e-05
cs_006,-3.487607104473156e-05
cs_005,-3.90787534669812e-05
cn_007,-4.7152818484907934e-05
cg_000,-4.978637921588813e-05
missing_sb3,-5.522652316722887e-05
ds_000,-6.208897488750864e-05
az_008,-6.517819093014854e-05
az_006,-6.796648549189932e-05
ak_000,-7.027049864334333e-05
cn_005,-7.517560076635288e-05
ee_000,-8.729752192759843e-05
ab_000,-9.15199385831178e-05
co_000,-9.597625645940688e-05
az_003,-0.00010170661539816716
an_000,-0.0001496493986278491
br_000,-0.00016628075128453102
ba_008,-0.00017740600723756828
ee_004,-0.00020930955748055258
missing_sb1,-0.0002123981189557922
bq_000,-0.00022124880846641215
cs_000,-0.00027393021370494266
ee_008,-0.00028446914573703185
ba_004,-0.00031274428693914833
az_007,-0.00036736071812413227
ag_007,-0.0003936303212004777
ee_002,-0.00040803032447089826
ag_006,-0.0005494075848173852
bn_000,-0.0006468026824036022
by_000,-0.0006600436062002224
ba_007,-0.000681116497421197
ay_004,-0.0007006392865269273
ee_003,-0.0007054152056805041
bf_000,-0.0007576783429180667
aj_000,-0.0008835259442472543
ba_005,-0.0009995641769219078
ag_008,-0.0010240974986261754
ee_009,-0.0013781926384536015
aq_000,-0.0013967940509741928
bd_000,-0.0014172113836189216
