vehicle,queue_ms,service_ms,sojourn_ms,probability,flagged
0,0.07018200267339125,287.86741100020663,287.93759300288,0.0002156928094336763,False
1,93.51606268410251,286.3769840000714,379.8930466841739,4.629481736628804e-06,False
2,181.35044236123576,286.855738000213,468.2061803614488,4.1484632674837485e-05,False
3,445.065875540422,293.42460699990625,738.4904825403282,1.7604372715140926e-06,False
4,731.4891038986389,284.86187199996493,1016.3509758986038,4.270573754183715e-06,False
5,895.4741709230802,299.3949449996762,1194.8691159227565,0.013623494654893875,True
6,1077.549908402034,285.09379499973875,1362.6437034017727,1.914941458380781e-05,False
7,1102.4608530224214,291.809810000359,1394.2706630227804,6.800386472605169e-06,False
8,1387.8366812573404,285.8177869998144,1673.6544682571548,1.2748898370773531e-05,False
9,1586.6139323788957,282.4215109999386,1869.0354433788343,1.744491783028934e-05,False
10,1863.3413791453677,288.83106600005704,2152.1724451454247,6.300078530330211e-05,False
11,2061.59545614355,298.6982860002172,2360.2937421437673,5.720856734114932e-06,False
12,2216.194923736566,284.6877440001663,2500.8826677367324,6.464492344093742e-06,False
13,2468.8170043541504,285.5065679996187,2754.323572353769,9.575050171406474e-06,False
14,2651.8690617986067,287.2911029999159,2939.1601647985226,8.824170436128043e-06,False
15,2926.523409980291,317.17027799959396,3243.693687979885,2.2216354409465566e-05,False
16,3236.2368950307427,289.60302099994806,3525.839916030691,8.735184565011878e-06,False
17,3499.7526095198737,292.74511499988876,3792.4977245197624,3.6311480471340474e-06,False
18,3717.574837905886,301.3181079995775,4018.8929459054634,9.177791071124375e-06,False
19,3984.6530367608466,289.8900179998236,4274.54305476067,0.0002712523564696312,False
20,4170.766890609684,286.05213600030766,4456.819026609992,3.1012114050099626e-05,False
21,4438.361548258854,277.8618969996387,4716.223445258493,7.01985982232145e-06,False
22,4563.235217579859,283.026781999979,4846.261999579838,2.9486013772839215e-06,False
23,4744.1792493118555,296.85806700035755,5041.037316312213,4.735258869459358e-07,False
24,4986.5664498152,277.4244020001788,5263.990851815379,1.4260772331908811e-05,False
25,5229.408809289453,284.71452199983105,5514.123331289284,2.851517820090521e-06,False
26,5476.612816514262,426.27830099991115,5902.891117514173,5.3347164794104174e-05,False
27,5896.641223926508,295.5681739999818,6192.20939792649,7.292942882486386e-06,False
28,6177.412875395021,282.2539940002571,6459.666869395278,9.807265996641945e-06,False
29,6402.7317737613885,293.2929230000809,6696.024696761469,2.0522891645669006e-05,False
30,6663.812490081455,313.0391959998633,6976.851686081318,2.849214433808811e-05,False
31,6871.677371617352,289.29541400020753,7160.97278561756,3.4279466945008608e-06,False
32,7102.108286999737,293.2356090000212,7395.343895999758,1.2329257515375502e-05,False
33,7375.691785808158,300.5628950004393,7676.254680808597,5.6936582950584125e-06,False
34,7638.006576786665,284.31371199985733,7922.320288786523,0.9999128580093384,True
35,7869.0325213542565,295.4436209997766,8164.476142354033,2.4957971618277952e-05,False
36,8135.9993232345005,284.961315000146,8420.960638234646,0.0003247103304602206,False
37,8394.308349159019,301.12653700007286,8695.434886159092,5.4182979511097074e-05,False
38,8622.374307976315,285.36655199968664,8907.740859976002,0.0015191350830718875,False
39,8883.167923232122,287.588988999687,9170.75691223181,4.105940752197057e-05,False
40,9059.7926714795,284.6204669999679,9344.413138479467,4.725392955151619e-06,False
41,9228.684989292105,291.9711240001561,9520.656113292262,0.00021866383031010628,False
42,9430.48912629547,288.7266979996639,9719.215824295134,2.6346467620896874e-06,False
43,9713.304589630297,283.5821459998442,9996.886735630142,3.157112132612383e-06,False
44,9902.558404486626,277.3657920001824,10179.924196486809,4.119506775168702e-05,False
45,10067.238695497963,285.05666599994584,10352.295361497909,0.00017940030375029892,False
46,10258.969147209882,294.73981399996774,10553.70896120985,2.3325294023379683e-05,False
47,10530.545847523172,285.1159799997731,10815.661827522945,2.0295523427193984e-05,False
48,10789.089401936963,287.9167630003394,11077.006164937302,5.377981324272696e-06,False
49,11063.37131932878,293.0462780000198,11356.4175973288,0.0007319053402170539,False
50,11327.062228604518,286.82214499986003,11613.884373604378,5.653635525959544e-06,False
51,11612.377910236773,289.13943399993514,11901.517344236709,2.67517680185847e-06,False
52,11887.792159893706,292.31260200003817,12180.104761893745,4.905993591819424e-06,False
53,12070.695985515158,278.2122260000506,12348.908211515209,2.8316217139945365e-06,False
54,12016.105983249417,290.4195310002251,12306.525514249643,1.838655589381233e-05,False
55,12259.738022550664,289.0031019996968,12548.74112455036,5.9506032812350895e-06,False
56,12525.24540741706,287.39430599989646,12812.639713416957,2.1009025658713654e-05,False
57,12779.669393924905,280.14755599997443,13059.81694992488,4.403119419293944e-06,False
58,13029.879929013532,308.14919699969323,13338.029126013225,0.00014601717703044415,False
59,13327.401434744843,278.8666450001074,13606.26807974495,2.0852576199104078e-05,False
60,13516.16559417198,294.9960149999242,13811.161609171904,1.2121651707275305e-05,False
61,13696.68022104588,284.2988420002257,13980.979063046107,1.1031754638679558e-06,False
62,13855.500781158753,293.52790199982337,14149.028683158576,1.134246303990949e-05,False
63,13706.710726179153,289.5336699998552,13996.244396179009,8.245468779932708e-05,False
64,13820.860578613974,295.5506940002124,14116.411272614187,3.637956251623109e-05,False
65,13979.513839239644,285.81128699988767,14265.325126239532,1.703221187199233e-06,False
66,14178.545704741282,287.85739300019486,14466.403097741477,1.1950672160310205e-05,False
67,14417.200265161682,285.43138399982126,14702.631649161503,3.7724846606579376e-06,False
